VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,6,370,8.264462809917356,334.6628213432098,35.33717865679017
0.122,7,364,8.19672131147541,329.13044242584016,34.86955757415984
0.123,9,357,8.130081300813009,323.68802088924105,33.311979110758955
0.124,11,348,8.064516129032258,318.3333803451675,29.666619654832516
0.125,9,337,8.0,313.0644140497992,23.93558595020079
0.126,0,328,7.936507936507937,307.8790821400717,20.120917859928284
0.127,9,328,7.874015748031496,302.77540900057613,25.224590999423867
0.128,6,319,7.8125,297.7514807538851,21.24851924611488
0.129,1,313,7.751937984496124,292.80544286760795,20.19455713239205
0.13,10,312,7.692307692307692,287.93549787188886,24.064502128111144
0.131,5,302,7.633587786259541,283.13990318144795,18.86009681855205
0.132,5,297,7.575757575757575,278.4169690166198,18.583030983380183
0.133,5,292,7.518796992481203,273.7650564181801,18.23494358181989
0.134,4,287,7.462686567164178,269.1825753510603,17.81742464893972
0.135,6,283,7.4074074074074066,264.66798289234225,18.332017107657748
0.136,7,277,7.352941176470588,260.2197814991937,16.780218500806313
0.137,6,270,7.2992700729927,255.83651735266034,14.163482647339663
0.138,2,264,7.246376811594202,251.51677877346813,12.483221226531867
0.139,9,262,7.194244604316546,247.25919470620673,14.740805293793272
0.14,3,253,7.142857142857142,243.0624332684776,9.937566731522395
0.141,6,250,7.092198581560284,238.92520036178018,11.074799638219815
0.142,8,244,7.042253521126761,234.84623834109252,9.153761658907484
0.143,8,236,6.993006993006993,230.8243247402746,5.175675259725409
0.144,0,228,6.944444444444445,226.85827105057916,1.1417289494208376
0.145,10,228,6.8965517241379315,222.94692154970713,5.0530784502928725
0.146,5,218,6.849315068493151,219.08915217898402,-1.0891521789840226
0.147,5,213,6.802721088435375,215.28386946636596,-2.2838694663659567
0.148,5,208,6.756756756756757,211.5300094931076,-3.530009493107599
0.149,2,203,6.7114093959731544,207.82653690204063,-4.82653690204063
0.15,14,201,6.666666666666667,204.17244394552125,-3.172443945521252
0.151,3,187,6.622516556291391,200.5667495712074,-13.566749571207396
0.152,5,184,6.578947368421053,197.00849854392402,-13.00849854392402
0.153,2,179,6.5359477124183005,193.49676060196455,-14.496760601964553
0.154,9,177,6.4935064935064934,190.03062964626434,-13.030629646264345
0.155,1,168,6.451612903225807,186.6092229609603,-18.609222960960295
0.156,5,167,6.410256410256411,183.23168046392934,-16.231680463929337
0.157,3,162,6.369426751592357,179.89716398596883,-17.89716398596883
0.158,4,159,6.329113924050633,176.60485657734958,-17.60485657734958
0.159,2,155,6.289308176100628,173.35396184053684,-18.35396184053684
0.16,3,153,6.25,170.14370328793436,-17.143703287934358
0.161,2,150,6.211180124223603,166.9733237235629,-16.973323723562913
0.162,2,148,6.172839506172839,163.84208464764046,-15.842084647640462
0.163,0,146,6.134969325153374,160.74926568307907,-14.749265683079074
0.164,7,146,6.097560975609756,157.69416402296355,-11.694164022963548
0.165,5,139,6.0606060606060606,154.67609389812213,-15.676093898122133
0.166,3,134,6.024096385542168,151.6943860639414,-17.69438606394141
0.167,7,131,5.988023952095808,148.7483873056192,-17.74838730561919
0.168,0,124,5.952380952380952,145.83745996108652,-21.837459961086523
0.169,4,124,5.9171597633136095,142.9609814608679,-18.960981460867913
0.17,1,120,5.88235294117647,140.11834388418117,-20.118343884181172
0.171,1,119,5.847953216374268,137.30895353061362,-18.30895353061362
0.172,4,118,5.813953488372094,134.5322305067388,-16.532230506738813
0.173,2,114,5.780346820809249,131.78760832707056,-17.787608327070558
0.174,4,112,5.74712643678161,129.0745335287778,-17.074533528777806
0.175,1,108,5.714285714285714,126.39246529960838,-18.392465299608375
0.176,2,107,5.6818181818181825,123.74087511849775,-16.740875118497755
0.177,3,105,5.649717514124294,121.11924640836007,-16.11924640836007
0.178,5,102,5.617977528089888,118.5270742005835,-16.5270742005835
