VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,7,409,8.264462809917356,411.9846671342286,-2.984667134228573
0.122,7,402,8.19672131147541,405.1740651152027,-3.1740651152027226
0.123,10,395,8.130081300813009,398.47420459242153,-3.474204592421529
0.124,11,385,8.064516129032258,391.88240633613657,-6.882406336136569
0.125,11,374,8.0,385.3960768519522,-11.396076851952216
0.126,0,363,7.936507936507937,379.012704978628,-16.012704978627994
0.127,10,363,7.874015748031496,372.7298586466159,-9.729858646615924
0.128,13,353,7.8125,366.5451817885415,-13.545181788541527
0.129,4,340,7.751937984496124,360.456391393383,-20.456391393383
0.13,9,336,7.692307692307692,354.4612746966115,-18.461274696611497
0.131,4,327,7.633587786259541,348.5576864990274,-21.557686499027398
0.132,1,323,7.575757575757575,342.74354660746735,-19.74354660746735
0.133,5,322,7.518796992481203,337.01683739096836,-15.016837390968362
0.134,4,317,7.462686567164178,331.3756014463573,-14.37560144635728
0.135,6,313,7.4074074074074066,325.8179393675924,-12.817939367592373
0.136,5,307,7.352941176470588,320.34200761351525,-13.34200761351525
0.137,3,302,7.2992700729927,314.94601646898656,-12.946016468986556
0.138,3,299,7.246376811594202,309.62822809466854,-10.628228094668543
0.139,4,296,7.194244604316546,304.3869546609882,-8.38695466098818
0.14,3,292,7.142857142857142,299.22055656207465,-7.220556562074648
0.141,0,289,7.092198581560284,294.12744070569903,-5.12744070569903
0.142,6,289,7.042253521126761,289.1060588754694,-0.10605887546938675
0.143,4,283,6.993006993006993,284.1549061617465,-1.15490616174651
0.144,0,279,6.944444444444445,279.2725194579364,-0.2725194579364256
0.145,9,279,6.8965517241379315,274.4574760190065,4.542523980993508
0.146,6,270,6.849315068493151,269.70839207924,0.2916079207599864
0.147,2,264,6.802721088435375,265.0239215264091,-1.023921526409083
0.148,4,262,6.756756756756757,260.4027546296975,1.5972453703025167
0.149,2,258,6.7114093959731544,255.84361681884778,2.156383181152222
0.15,1,256,6.666666666666667,251.34526751214278,4.654732487857217
0.151,3,255,6.622516556291391,246.906498990957,8.093501009042996
0.152,0,252,6.578947368421053,242.52613531873428,9.473864681265724
0.153,4,252,6.5359477124183005,238.2030313023575,13.796968697642512
0.154,9,248,6.4935064935064934,233.93607149398568,14.06392850601432
0.155,3,239,6.451612903225807,229.72416923152835,9.27583076847165
0.156,5,236,6.410256410256411,225.56626571602558,10.433734283974417
0.157,6,231,6.369426751592357,221.46132912428718,9.538670875712825
0.158,4,225,6.329113924050633,217.40835375522894,7.591646244771056
0.159,4,221,6.289308176100628,213.40635920842303,7.5936407915769735
0.16,4,217,6.25,209.45438959345228,7.545610406547723
0.161,2,213,6.211180124223603,205.5515127687296,7.448487231270406
