VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,4,521,8.264462809917356,513.3279621145903,7.672037885409736
0.122,6,517,8.19672131147541,504.8420335495328,12.1579664504672
0.123,13,511,8.130081300813009,496.49408756276927,14.505912437230734
0.124,10,498,8.064516129032258,488.2807858661146,9.719214133885373
0.125,9,488,8.0,480.19889699660655,7.80110300339345
0.126,1,479,7.936507936507937,472.2452920774081,6.7547079225918765
0.127,7,478,7.874015748031496,464.41694077898444,13.58305922101556
0.128,12,471,7.8125,456.71090746959857,14.289092530401433
0.129,11,459,7.751937984496124,449.1243475448544,9.875652455145598
0.13,7,448,7.692307692307692,441.6545039266447,6.345496073355321
0.131,8,441,7.633587786259541,434.2987037224535,6.701296277546476
0.132,6,433,7.575757575757575,427.05435503650773,5.945644963492271
0.133,7,427,7.518796992481203,419.9189439247867,7.081056075213326
0.134,10,420,7.462686567164178,412.89003148637477,7.109968513625233
0.135,2,410,7.4074074074074066,405.9652510840875,4.034748915912473
0.136,5,408,7.352941176470588,399.1423056877164,8.857694312283627
0.137,8,403,7.2992700729927,392.41896533362785,10.581034666372148
0.138,6,395,7.246376811594202,385.7930646948161,9.20693530518389
0.139,8,389,7.194244604316546,379.2625007558434,9.737499244156595
0.14,6,381,7.142857142857142,372.82523058742737,8.17476941257263
0.141,5,375,7.092198581560284,366.47926921572656,8.52073078427344
0.142,13,370,7.042253521126761,360.2226875816553,9.777312418344707
0.143,11,357,6.993006993006993,354.0536105858227,2.946389414177304
0.144,0,346,6.944444444444445,347.9702152149323,-1.9702152149322956
0.145,6,346,6.8965517241379315,341.9707287457093,4.029271254290677
0.146,7,340,6.849315068493151,336.05342702264016,3.9465729773598355
0.147,3,333,6.802721088435375,330.21663280600717,2.783367193992831
0.148,5,330,6.756756756756757,324.4587141868963,5.541285813103684
0.149,9,325,6.7114093959731544,318.77808306602856,6.221916933971443
0.15,10,316,6.666666666666667,313.1731936934391,2.8268063065609113
0.151,5,306,6.622516556291391,307.6425412661818,-1.6425412661818086
0.152,4,301,6.578947368421053,302.1846605813886,-1.1846605813885844
0.153,3,297,6.5359477124183005,296.7981247421481,0.20187525785189564
0.154,9,294,6.4935064935064934,291.4815439138069,2.518456086193112
0.155,4,285,6.451612903225807,286.23356412841207,-1.2335641284120697
0.156,5,281,6.410256410256411,281.0528661351376,-0.05286613513760585
0.157,4,276,6.369426751592357,275.93816429464374,0.06183570535625904
0.158,5,272,6.329113924050633,270.88820551542193,1.1117944845780698
0.159,9,267,6.289308176100628,265.9017682302783,1.0982317697216786
0.16,8,258,6.25,260.97766141119916,-2.977661411199165
0.161,7,250,6.211180124223603,256.11472362092843,-6.11472362092843
0.162,2,243,6.172839506172839,251.31182209967326,-8.311822099673265
0.163,3,241,6.134969325153374,246.56785188542744,-5.567851885427444
0.164,14,238,6.097560975609756,241.8817349664773,-3.881734966477296
0.165,5,224,6.0606060606060606,237.25241946472653,-13.252419464726529
0.166,4,219,6.024096385542168,232.67887884853894,-13.678878848538943
0.167,6,215,5.988023952095808,228.16011117386265,-13.160111173862646
0.168,0,209,5.952380952380952,223.69513835245635,-14.695138352456354
0.169,4,209,5.9171597633136095,219.28300544609635,-10.283005446096354
0.17,4,205,5.88235294117647,214.92277998569338,-9.922779985693381
0.171,0,201,5.847953216374268,210.613551314301,-9.613551314300992
0.172,4,201,5.813953488372094,206.35442995304126,-5.354429953041262
0.173,5,197,5.780346820809249,202.14454698902134,-5.144546989021336
0.174,6,192,5.74712643678161,197.98305348435807,-5.9830534843580665
0.175,4,186,5.714285714285714,193.86911990546224,-7.869119905462242
0.176,5,182,5.6818181818181825,189.8019355717813,-7.801935571781314
0.177,1,177,5.649717514124294,185.78070812322656,-8.78070812322656
0.178,5,176,5.617977528089888,181.80466300555452,-5.8046630055545165
0.179,5,171,5.58659217877095,177.87304297299607,-6.873042972996075
0.18,6,166,5.555555555555555,173.9851076074661,-7.985107607466091
0.181,3,160,5.524861878453039,170.14013285370996,-10.140132853709957
0.182,3,157,5.4945054945054945,166.3374105697753,-9.337410569775301
0.183,2,154,5.46448087431694,162.57624809222241,-8.576248092222414
0.184,3,152,5.434782608695652,158.85596781551254,-6.8559678155125425
0.185,1,149,5.405405405405405,155.1759067850373,-6.175906785037313
0.186,5,148,5.376344086021505,151.5354163032769,-3.5354163032768895
0.187,6,143,5.347593582887701,147.93386154859417,-4.933861548594166
0.188,5,137,5.319148936170213,144.37062120619527,-7.370621206195267
0.189,3,132,5.291005291005291,140.8450871108059,-8.845087110805906
0.19,4,129,5.2631578947368425,137.3566639006312,-8.35666390063119
0.191,5,125,5.2356020942408374,133.9047686821859,-8.904768682185903
0.192,7,120,5.208333333333333,130.48883070559953,-10.488830705599526
0.193,3,113,5.181347150259067,127.10829105001406,-14.10829105001406
0.194,5,110,5.154639175257731,123.76260231871292,-13.762602318712922
0.195,2,105,5.128205128205128,120.45122834363032,-15.45122834363032
0.196,4,103,5.1020408163265305,117.17364389890572,-14.173643898905723
0.197,3,99,5.0761421319796955,113.92933442316308,-14.929334423163084
0.198,2,96,5.05050505050505,110.71779575020565,-14.717795750205653
0.199,3,94,5.025125628140703,107.53853384783073,-13.538533847830735
0.2,9,91,5.0,104.39106456447965,-13.391064564479649
0.201,0,82,4.975124378109452,101.27491338345035,-19.274913383450354
0.202,4,82,4.9504950495049505,98.18961518441155,-16.18961518441155
0.203,2,78,4.926108374384236,95.13471401196412,-17.13471401196412
0.204,3,76,4.901960784313726,92.1097628510115,-16.109762851011496
0.205,4,73,4.878048780487805,89.11432340870212,-16.11432340870212
0.206,4,69,4.8543689320388355,86.14796590272599,-17.147965902725986
0.207,2,65,4.830917874396135,83.21026885574466,-18.21026885574466
0.208,4,63,4.8076923076923075,80.30081889575354,-17.300818895753537
0.209,4,59,4.784688995215311,77.4192105621739,-18.4192105621739
0.21,6,55,4.761904761904762,74.56504611748545,-19.56504611748545
0.211,1,49,4.739336492890995,71.73793536421587,-22.737935364215872
0.212,4,48,4.716981132075472,68.93749546710923,-20.93749546710923
0.213,1,44,4.694835680751174,66.16335078030403,-22.16335078030403
0.214,1,43,4.672897196261682,63.415132679356795,-20.415132679356795
0.215,1,42,4.651162790697675,60.6924793979533,-18.6924793979533
0.216,3,41,4.62962962962963,57.99503586915536,-16.99503586915536
0.217,2,38,4.6082949308755765,55.32245357103764,-17.32245357103764
0.218,1,36,4.587155963302752,52.67439037657228,-16.674390376572283
0.219,0,35,4.566210045662101,50.050510407627236,-15.050510407627236
0.22,4,35,4.545454545454546,47.45048389294533,-12.450483892945329
0.221,0,31,4.524886877828054,44.87398702997991,-13.873987029979908
0.222,3,31,4.504504504504505,42.32070185046472,-11.320701850464722
0.223,3,28,4.484304932735426,39.7903160895998,-11.790316089599798
0.224,2,25,4.464285714285714,37.282523058742726,-12.282523058742726
0.225,2,23,4.444444444444445,34.797021521493214,-11.797021521493214
0.226,3,21,4.424778761061947,32.333515573068865,-11.333515573068865
0.227,0,18,4.405286343612334,29.891714522868543,-11.891714522868543
0.228,2,18,4.385964912280701,27.471332780126126,-9.471332780126126
0.229,2,16,4.366812227074235,25.072089742560525,-9.072089742560525
0.23,3,14,4.3478260869565215,22.6937096879303,-8.693709687930301
0.231,1,11,4.329004329004329,20.335921668405092,-9.335921668405092
0.232,0,10,4.310344827586206,17.998459407668815,-7.998459407668815
0.233,1,10,4.291845493562231,15.681061200672836,-5.681061200672836
0.234,2,9,4.273504273504273,13.383469815958886,-4.383469815958886
0.235,0,7,4.25531914893617,11.105432400476516,-4.105432400476516
0.236,0,7,4.237288135593221,8.846700386820308,-1.8467003868203076
0.237,0,7,4.219409282700422,6.607029402815131,0.3929705971848687
0.238,0,7,4.201680672268908,4.386179183381484,2.6138208166185164
0.239,4,7,4.184100418410042,2.1839134846124852,4.816086515387514
0.24,3,3,4.166666666666667,0.0,3.0
