VAF,freq,cumfreq,invVAF,prediction,residuals
0.156,4,359,6.410256410256411,344.8288746152456,14.171125384754419
0.157,6,355,6.369426751592357,338.5535538761146,16.44644612388538
0.158,5,349,6.329113924050633,332.35766757671945,16.64233242328055
0.159,4,344,6.289308176100628,326.23971695404623,17.76028304595377
0.16,9,340,6.25,320.19824071415655,19.801759285843445
0.161,1,331,6.211180124223603,314.23181386855117,16.76818613144883
0.162,7,330,6.172839506172839,308.3390466136322,21.660953386367794
0.163,3,323,6.134969325153374,302.5185832514117,20.481416748588288
0.164,6,320,6.097560975609756,296.7691011497061,23.230898850293897
0.165,4,314,6.0606060606060606,291.0893097401423,22.910690259857688
0.166,3,310,6.024096385542168,285.47794955238044,24.522050447619563
0.167,7,307,5.988023952095808,279.93379128303496,27.066208716965036
0.168,0,300,5.952380952380952,274.45563489784837,25.54436510215163
0.169,9,300,5.9171597633136095,269.042308765741,30.957691234259016
0.17,0,291,5.88235294117647,263.69266882342293,27.307331176577065
0.171,2,291,5.847953216374268,258.4055977693192,32.59440223068083
0.172,3,289,5.813953488372094,253.18000428561223,35.81999571438777
0.173,3,286,5.780346820809249,248.0148222872658,37.98517771273421
0.174,4,283,5.74712643678161,242.9090101969464,40.09098980305359
0.175,4,279,5.714285714285714,237.861550244802,41.138449755197996
0.176,7,275,5.6818181818181825,232.87144779211394,42.12855220788606
0.177,4,268,5.649717514124294,227.93773067787419,40.062269322125815
0.178,3,264,5.617977528089888,223.05944858739,40.940551412610006
0.179,4,261,5.58659217877095,218.2356724420508,42.7643275579492
0.18,3,257,5.555555555555555,213.46549380943765,43.534506190562354
0.181,4,254,5.524861878453039,208.74802433298603,45.251975667013966
0.182,7,250,5.4945054945054945,204.0823951804514,45.917604819548586
0.183,1,243,5.46448087431694,199.46775651045814,43.532243489541855
0.184,4,242,5.434782608695652,194.9032769564431,47.09672304355689
0.185,2,238,5.405405405405405,190.3881431273363,47.61185687266371
0.186,4,236,5.376344086021505,185.9215591243489,50.0784408756511
0.187,4,232,5.347593582887701,181.5027460732652,50.4972539267348
0.188,1,228,5.319148936170213,177.13094167166102,50.86905832833898
0.189,4,227,5.291005291005291,172.80539975049717,54.19460024950283
0.19,5,223,5.2631578947368425,168.52538984955612,54.47461015044388
0.191,1,218,5.2356020942408374,164.2901968062164,53.709803193783614
0.192,7,217,5.208333333333333,160.0991203570782,56.90087964292181
0.193,3,210,5.181347150259067,155.95147475197257,54.04852524802743
0.194,8,207,5.154639175257731,151.84658837990918,55.15341162009082
0.195,6,199,5.128205128205128,147.7838034065337,51.21619659346629
0.196,3,193,5.1020408163265305,143.76247542268248,49.237524577317515
0.197,8,190,5.0761421319796955,139.78197310364195,50.218026896358055
0.198,4,182,5.05050505050505,135.841677878733,46.15832212126699
0.199,9,178,5.025125628140703,131.94098361085838,46.05901638914162
0.2,8,169,5.0,128.0792962856626,40.92070371433741
0.201,0,161,4.975124378109452,124.2560337099711,36.743966290028894
0.202,3,161,4.9504950495049505,120.47062521918758,40.52937478081242
0.203,4,158,4.926108374384236,116.72251139333773,41.277488606662274
0.204,3,154,4.901960784313726,113.01114378146704,40.98885621853296
0.205,5,151,4.878048780487805,109.33598463410219,41.66401536589781
0.206,2,146,4.8543689320388355,105.69650664350803,40.30349335649197
0.207,3,144,4.830917874396135,102.09219269147019,41.90780730852981
0.208,5,141,4.8076923076923075,98.5225356043558,42.477464395644205
0.209,2,136,4.784688995215311,94.98703791520431,41.01296208479569
0.21,4,134,4.761904761904762,91.48521163261611,42.514788367383886
0.211,3,130,4.739336492890995,88.01657801621363,41.98342198378637
0.212,5,127,4.716981132075472,84.58066735845645,42.41933264154355
0.213,7,122,4.694835680751174,81.17701877260308,40.82298122739692
